"","Arena","Arcilla","Limo","pH","MO","Al","B","Ca","CICE","Cu","Fe","K","Mg","Mn","P","S","Zn"
"1408",0.44,0.2,0.36,6.5,1.6,0,0.5,12.2,17.6,3,85,1.25,4.1,4,56,5,4
"1409",0.44,0.2,0.36,6.5,1.6,0,0.5,12.2,17.6,3,85,1.25,4.1,4,56,5,4
"1410",0.26,0.24,0.5,6.3,1.6,0,0.5,13.6,19.4,5,75,0.89,4.7,3,40,4,2
"1411",0.44,0.2,0.36,6.5,1.6,0,0.5,12.2,17.6,3,85,1.25,4.1,4,56,5,4
"1412",0.26,0.24,0.5,6.3,1.6,0,0.5,13.6,19.4,5,75,0.89,4.7,3,40,4,2
"1413",0.44,0.2,0.36,6.5,1.6,0,0.5,12.2,17.6,3,85,1.25,4.1,4,56,5,4
"1414",0.4,0.22,0.38,6.5,1.6,0,0.4,13.3,19.2,4,80,1.03,4.6,3,45,5,2
"1415",0.4,0.22,0.38,6.5,1.6,0,0.4,13.3,19.2,4,80,1.03,4.6,3,45,5,2
"1416",0.4,0.22,0.38,6.5,1.6,0,0.4,13.3,19.2,4,80,1.03,4.6,3,45,5,2
"1417",0.4,0.22,0.38,6.5,1.6,0,0.4,13.3,19.2,4,80,1.03,4.6,3,45,5,2
"1418",0.4,0.22,0.38,6.5,1.6,0,0.4,13.3,19.2,4,80,1.03,4.6,3,45,5,2
"1419",0.26,0.24,0.5,6.3,1.6,0,0.5,13.6,19.4,5,75,0.89,4.7,3,40,4,2
"1420",0.26,0.24,0.5,6.3,1.6,0,0.5,13.6,19.4,5,75,0.89,4.7,3,40,4,2
"1421",0.4,0.22,0.38,6.5,1.6,0,0.4,13.3,19.2,4,80,1.03,4.6,3,45,5,2
"1422",0.4,0.22,0.38,6.5,1.6,0,0.4,13.3,19.2,4,80,1.03,4.6,3,45,5,2
"1423",0.4,0.22,0.38,6.5,1.6,0,0.4,13.3,19.2,4,80,1.03,4.6,3,45,5,2
"1424",0.4,0.22,0.38,6.5,1.6,0,0.4,13.3,19.2,4,80,1.03,4.6,3,45,5,2
"1425",0.5,0.2,0.3,5.6,1.1,0,0.5,10.6,15.7,3,96,0.73,4.3,6,25,6,3
"1426",0.5,0.2,0.3,5.6,1.1,0,0.5,10.6,15.7,3,96,0.73,4.3,6,25,6,3
"1427",0.4,0.28,0.32,5,1.4,0.7,0.6,12.3,19,4,116,0.81,5.1,11,23,5,1
"1428",0.4,0.28,0.32,5,1.4,0.7,0.6,12.3,19,4,116,0.81,5.1,11,23,5,1
"1429",0.4,0.28,0.32,5,1.4,0.7,0.6,12.3,19,4,116,0.81,5.1,11,23,5,1
"1430",0.4,0.2,0.4,5,1.3,0.7,0.6,12.4,19.1,4,106,0.85,5.1,11,23,6,1
"1431",0.4,0.28,0.32,5,1.4,0.7,0.6,12.3,19,4,116,0.81,5.1,11,23,5,1
"1432",0.4,0.28,0.32,5,1.4,0.7,0.6,12.3,19,4,116,0.81,5.1,11,23,5,1
"1433",0.4,0.2,0.4,5,1.3,0.7,0.6,12.4,19.1,4,106,0.85,5.1,11,23,6,1
"1434",0.32,0.32,0.36,5.3,1.6,0.6,0.8,13.3,20.4,4,98,0.58,5.9,5,26,7,3
"1435",0.32,0.32,0.36,5.3,1.6,0.6,0.8,13.3,20.4,4,98,0.58,5.9,5,26,7,3
"1436",0.32,0.32,0.36,5.3,1.6,0.6,0.8,13.3,20.4,4,98,0.58,5.9,5,26,7,3
"1437",0.32,0.32,0.36,5.3,1.6,0.6,0.8,13.3,20.4,4,98,0.58,5.9,5,26,7,3
"1438",0.16,0.4,0.44,5.1,1.8,1,0.7,14.8,24.2,4,111,0.71,7.6,8,27,16,4
"1439",0.16,0.4,0.44,5.1,1.8,1,0.7,14.8,24.2,4,111,0.71,7.6,8,27,16,4
